Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Views,Likes,Stream,id,Comments,INDEX
9.0,0.019902511,7.0,-12.238,0.091,2.460375E-6,0.00138,9.7972181E-5,0.742,111.485,226240.0,6.3789393E7,519736.0,3.20875067E8,72,,72
7.0,0.967361669,9.0,-4.613,,1.0612080000000003E-6,4.45E-5,0.0869383069999999,0.84,126.47,352906.0,8.2384309E7,678837.0,1.94870867E8,73,20995.0,73
7.0,0.300763,2.0,-12.759,0.0438,0.0092609999999999,4.26E-4,,0.91,120.75,215173.0,5.7418794E7,348189.0,1.73523531E8,74,17658.0,74
0.0,0.8043570000000001,10.0,,0.125,7.077887999999998E-6,0.0022,0.0011910159999999,0.376,195.815,280000.0,2.5115573E7,196994.0,8.9798826E7,75,7476.0,75
2.0,0.3328125569999999,6.0,,0.0427,6.028568E-6,5.63E-6,0.0280944639999999,,,265320.0,6052700.0,72433.0,7981736.0,76,2893.0,76
7.0,,2.0,-10.457,0.0321,6.405039279999E-4,3.88E-4,0.008242408,0.639,135.406,178987.0,6214045.0,52412.0,6.6628334E7,77,2775.0,77
8.0,0.129554216,1.0,-8.825,0.0453,6.3521199E-5,0.0847,3.02111711E-4,0.727,114.832,347667.0,,183216.0,6.4530419E7,78,8958.0,78
7.0,0.7610484970000001,6.0,-2.926,0.113,4.8228544E-8,6.92E-5,0.007189057,0.658,128.04,186210.0,52877.0,893.0,4.43481299E8,79,55.0,79
7.0,0.469097433,5.0,-6.932,,0.022188041,0.79,0.002406104,,124.431,208600.0,7.6279956E7,561800.0,2.19078589E8,80,13551.0,80
6.0,0.371694959,6.0,-12.734,0.048,0.1038229999999999,0.00121,0.085184,0.972,,220733.0,4.18957377E8,3435429.0,2.62132318E8,81,126425.0,81
7.0,0.6162950509999999,7.0,-7.033,0.0362,0.002197,9.12E-4,0.0869383069999999,,115.118,261267.0,1.80559851E8,,1.10735153E8,82,,82
5.0,0.653972032,0.0,-6.427,0.106,6.814719999999E-4,0.124,0.002146689,0.804,,242240.0,,73583.0,1.30718006E8,83,1915.0,83
5.0,0.7121219570000001,,-6.509,0.036,0.0241375689999999,0.00816,0.010941048,0.966,126.143,351573.0,52877.0,893.0,8.1018008E7,84,55.0,84
7.0,0.438976,2.0,-6.009,0.105,4.0001688E-5,,0.0297909999999999,0.902,128.976,276080.0,2.83117873E8,1373934.0,7.6312247E7,85,44809.0,85
8.0,,0.0,-5.961,0.0367,0.010648,0.0,0.0233936559999999,0.93,112.517,242187.0,1.4631119E7,112003.0,1.18247658E8,86,3834.0,86
8.0,0.663054848,10.0,-4.729,0.0792,1.96122941E-7,0.545,,0.969,123.996,,7.6279956E7,561800.0,1.3070905E7,87,13551.0,87
8.0,,1.0,-5.843,0.0293,0.0233936559999999,,0.0278181269999999,,131.659,225627.0,6.8250778E7,360042.0,,88,7502.0,88
5.0,0.0432435509999999,,-16.842,0.0463,0.1105919999999999,0.0176,0.001520875,0.45,101.384,182653.0,4.7676885E7,335189.0,1.93343622E8,89,16382.0,89
1.0,0.5373677969999998,0.0,-9.02,0.0737,,0.109,0.665338617,0.344,106.859,134267.0,8726124.0,58294.0,9999321.0,90,1658.0,90
0.0,0.047045881,9.0,-14.398,0.0499,0.241804367,0.00119,0.0036522639999999,0.612,187.711,152867.0,1240905.0,9102.0,1.42956049E8,91,224.0,91
2.0,0.017779581,2.0,-13.868,0.0272,0.430368875,0.00105,0.0029859839999999,0.201,73.36,212667.0,,442638.0,8.2658228E7,92,21293.0,92
6.0,0.121287375,10.0,-13.877,0.0422,0.1038229999999999,6.98E-5,0.003869893,0.528,101.999,247000.0,5249473.0,,3.6940149E7,93,168.0,93
4.0,6.4E-5,4.0,-19.994,0.0405,0.7991787520000001,0.00178,0.001331,0.418,117.136,138600.0,2.0875687E7,105516.0,,94,3437.0,94
1.0,0.633839779,4.0,,0.085,3.02111711E-4,0.00201,0.8792179119999999,0.36,112.228,156173.0,1.2672554E7,59786.0,1948126.0,95,,95
6.0,0.093576664,2.0,-12.44,0.0332,0.5043583360000001,,0.0029242069999999,0.54,,287627.0,2.33571E7,,6.1905067E7,96,5775.0,96
4.0,0.143055667,1.0,-14.647,0.0311,0.145531576,0.0564,,0.723,148.03,,,22232.0,1.9385881E7,97,1012.0,97
2.0,0.1981552869999999,,-10.964,0.0376,0.006331625,0.0,0.066923416,0.908,150.566,183307.0,9.127401E7,423722.0,7.62844275E8,98,11553.0,98
4.0,0.143877824,8.0,-10.266,0.0309,0.0494308629999999,0.00254,0.001520875,0.797,86.204,205613.0,4302880.0,38657.0,2.59257572E8,99,1371.0,99
3.0,0.006644672,9.0,-18.758,0.0959,0.5948233209999999,,0.011852352,0.334,77.464,155453.0,4374454.0,54558.0,1.30259092E8,100,202.0,100
5.0,0.158340421,0.0,-7.851,,0.284890312,,7.991787519999E-4,0.693,93.744,197160.0,2.3502353E7,131987.0,8.08836E7,101,4653.0,101
4.0,0.0224257679999999,,-12.207,0.0339,0.125751501,8.3E-6,0.0035118079999999,0.563,67.409,274040.0,4925805.0,69344.0,1.70421395E8,102,297.0,102
0.0,0.1085313329999999,4.0,-10.266,,0.021024576,0.0139,0.002515456,0.182,143.532,260387.0,1.1013537E7,,1.06432184E8,103,,103
2.0,0.4003155529999999,0.0,-7.36,,0.0251537569999999,,0.028652616,,176.717,226760.0,,6132.0,,104,298.0,104
3.0,0.3639943439999999,7.0,-7.139,0.0445,0.0052680239999999,0.0,,0.955,,,5316213.0,25987.0,,105,1292.0,105
4.0,,,-11.165,0.0285,0.0428749999999999,3.52E-5,,0.597,75.798,272160.0,7383344.0,64580.0,8.4802486E7,106,607.0,106
1.0,0.0432435509999999,7.0,-8.296,0.0286,0.055742968,0.00108,5.158496079999E-4,0.235,140.804,249627.0,4731304.0,33336.0,,107,1770.0,107
8.0,0.0243889999999999,4.0,-17.117,0.139,2.1717639000000004E-5,0.0,0.1861694109999999,0.506,92.409,,3.51401822E8,2549466.0,5.18080621E8,108,42859.0,108
2.0,0.128787625,2.0,-8.926,0.245,6.069845700000001E-5,0.0,7.863304669999E-4,0.495,99.935,320267.0,1.55585471E8,1046356.0,3.27451076E8,109,22035.0,109
4.0,0.075151448,10.0,-13.364,0.499,0.0091293289999999,0.0,,0.563,130.47,226987.0,2.12066884E8,1317003.0,2.70271722E8,110,30299.0,110
4.0,0.2371766589999999,3.0,,0.0976,0.0016430319999999,0.0,0.1133799039999999,0.668,80.02,326533.0,1.18440055E8,731399.0,1.64734842E8,111,,111
7.0,,1.0,-7.9,,1.6430319999999998E-6,0.0,0.002628072,0.63,88.926,221467.0,4.599592E7,353016.0,9.0239854E7,112,5942.0,112
6.0,0.128787625,1.0,-11.709,0.138,,0.0,0.012812904,0.399,89.953,260067.0,7.0572748E7,473024.0,1.26371223E8,113,,113
2.0,0.047832147,10.0,-13.888,0.166,0.3444721009999999,3.18E-6,0.002744,0.549,136.422,350533.0,2.5880121E7,,6.9682284E7,114,4102.0,114
1.0,,7.0,-10.714,0.504,0.002048383,,0.001404928,,173.273,,4494.0,174.0,6.2682051E7,115,,115
9.0,0.420189749,2.0,-6.129,0.37,9.940119919999E-4,3.74E-6,5.86376253E-4,0.65,94.899,333907.0,3207135.0,,5.2139842E7,116,1223.0,116
5.0,0.270840023,1.0,-9.465,0.0903,0.006859,0.00877,6.9934528E-5,0.931,,280760.0,6835989.0,60342.0,,117,1927.0,117
9.0,0.491169069,7.0,-2.801,0.247,,2.41E-5,3.3386248E-5,,125.071,182413.0,1.35227988E8,1114973.0,8.5119241E7,118,20713.0,118
8.0,0.5100823990000001,1.0,-4.1,0.156,,0.128,,0.0815,,213733.0,1.144903863E9,1.0125701E7,4.86837929E8,119,400601.0,119
9.0,0.433798093,8.0,,0.23,2.7084002300000004E-7,0.0,0.0243889999999999,0.626,82.038,274387.0,,637212.0,1.51540966E8,120,15449.0,120
8.0,0.382657176,2.0,-6.726,0.323,0.047437928,1.88E-6,0.0017715609999999,0.57,150.061,235897.0,3.3429589E7,432912.0,9.3984506E7,121,5210.0,121
6.0,,2.0,,0.032,2.8619117900000004E-7,1.07E-5,0.0011248639999999,0.667,120.021,159820.0,,176658.0,,122,8849.0,122
8.0,,10.0,,0.227,3.53393243E-7,9.1E-4,0.0498360319999999,0.211,127.984,133125.0,2526998.0,22407.0,5.87051E7,123,303.0,123
9.0,,10.0,-2.018,0.274,0.012649337,0.0,1.28787625E-4,0.642,99.976,250747.0,3.4373643E7,,4.9656144E7,124,6218.0,124
6.0,0.5453385129999999,,,0.188,,0.0,,,,283040.0,1118781.0,17687.0,7.9133174E7,125,,125
9.0,0.907039232,1.0,-3.278,0.157,2.9242070000000003E-6,0.0025,9.64430272E-4,0.798,103.005,226107.0,2.266505E7,159374.0,5.7672736E7,126,3175.0,126
9.0,0.697864103,1.0,-3.083,0.285,4.03583419E-7,,0.052734375,0.814,149.956,281080.0,1.48825368E8,,1.1783832E7,127,11749.0,127
0.0,0.1871492479999999,1.0,-7.818,,0.263374721,0.0,0.008,0.285,77.986,237467.0,129107.0,973.0,1.69769959E8,128,107.0,128
4.0,,,-6.457,0.0284,,0.0,0.0233936559999999,0.685,143.924,284467.0,3.44790169E8,1213946.0,1.85457245E8,129,34345.0,129
4.0,,7.0,-6.143,0.0279,8.87503681E-4,,0.002146689,0.261,133.906,281027.0,3.82555979E8,1352278.0,1.41498115E8,130,42242.0,130
6.0,0.7338708080000002,6.0,-4.269,0.0407,0.001404928,0.0,,,,225987.0,,677360.0,1.81228175E8,131,,131
6.0,0.8682506639999998,0.0,,0.0607,6.128487E-6,0.0,0.015438249,0.796,124.961,205920.0,1.54804639E8,738986.0,1.34391079E8,132,25018.0,132
3.0,0.264609288,10.0,-6.873,0.0272,0.006751269,0.0,0.010793861,0.492,140.264,288947.0,1.7240923E8,,7.3913009E7,133,19287.0,133
4.0,,1.0,-7.939,0.0309,6.751269E-6,1.78E-5,0.007077888,0.491,139.956,285067.0,2.2155239E8,714967.0,1.26878363E8,134,22191.0,134
0.0,,0.0,-14.14,0.0314,,2.94E-6,6.97864103E-4,,103.821,217227.0,2.5942458E7,,5.3928512E7,135,0.0,135
2.0,,,-7.441,,4.16832723E-4,0.0,,0.654,149.855,263667.0,,236820.0,7.0993793E7,136,5001.0,136
0.0,0.053157376,1.0,,0.0313,0.094196375,0.0,0.001442897,0.255,97.311,173560.0,,,3.2610775E7,137,5034.0,137
4.0,0.3518958159999999,0.0,-9.665,0.0379,0.047437928,0.0,0.004096,0.819,,148160.0,1.54325789E8,750611.0,1.66829226E8,138,18063.0,138
5.0,0.451217663,9.0,-10.445,0.0372,,6.92E-6,,0.73,132.017,306773.0,5590.0,100.0,,139,7.0,139
3.0,0.5473434319999999,4.0,-6.539,0.0415,0.0034429509999999,0.0,0.0421441919999999,0.728,163.045,,7.4965456E7,333303.0,1.08939189E8,140,6199.0,140
6.0,,10.0,-8.066,0.0413,0.038614472,,0.0052680239999999,0.511,,242733.0,,138429.0,1.02020883E8,141,,141
6.0,0.452984832,2.0,-6.702,0.0363,0.010648,,,0.878,125.203,230267.0,7.5283307E7,271609.0,2.03334276E8,142,7811.0,142
5.0,0.258474853,7.0,-10.92,,1.21287375E-4,1.38E-4,0.019034163,0.793,147.502,171067.0,1.6483688E7,73518.0,6.2396534E7,143,,143
6.0,0.433798093,7.0,-7.543,0.0323,0.120553784,7.63E-5,,0.69,120.967,279067.0,3425668.0,34029.0,5.3410881E7,144,869.0,144
7.0,0.320013504,9.0,-10.803,0.0351,0.017373979,1.53E-6,,0.564,,246080.0,8.48576E7,413507.0,,145,12454.0,145
6.0,0.2043364689999999,0.0,-10.01,0.0247,0.0035118079999999,0.0,,0.696,93.865,168640.0,128454.0,1732.0,,146,6.0,146
3.0,0.0272709009999999,2.0,-10.522,0.0294,,,,0.25,125.584,,2.49882562E8,1099163.0,,147,43811.0,147
6.0,0.3116657520000001,5.0,-3.525,0.102,0.020346417,0.0,0.0033079489999999,0.734,138.009,271333.0,3.41811113E8,1700270.0,6.45113663E8,148,43913.0,148
9.0,0.1911029759999999,10.0,,0.153,0.002685619,0.0,4.459437439999E-4,0.461,127.641,256027.0,1.04843215E8,968294.0,,149,24208.0,149
2.0,0.7560580310000001,1.0,-2.027,0.41,1.74676879E-4,,0.465484375,0.619,161.109,254027.0,,,3.86401916E8,150,,150
8.0,,1.0,-4.639,,,0.00157,1.548541529999E-4,0.683,88.997,,4.9770605E7,221038.0,2.44936709E8,151,,151
9.0,0.5821828749999999,,-4.386,0.275,2.2188041E-8,,,0.637,103.376,207907.0,,467969.0,1.98323379E8,152,,152
8.0,0.7265726990000001,1.0,-5.958,0.0637,3.842405830000001E-7,0.219,9.38313739E-4,0.545,119.011,242013.0,1.2720845E8,614864.0,1.04899869E8,153,17410.0,153
6.0,0.5120000000000001,9.0,-1.866,0.202,1.198231569999E-4,0.0,5.10082399E-4,0.587,99.675,209360.0,1.6274154E7,171898.0,8.8298034E7,154,,154
9.0,0.0725117129999999,7.0,-6.799,0.361,8.752838400000002E-5,0.0,5.780095369999E-4,0.904,,,2.25592008E8,1048760.0,1.36912173E8,155,27610.0,155
3.0,0.1881325169999999,5.0,,0.0436,0.015625,0.0,3.77933067E-4,,,276093.0,1301203.0,6800.0,,156,341.0,156
5.0,0.3922231679999999,9.0,-7.067,,0.120553784,1.79E-5,0.001520875,0.957,,176533.0,2.20585577E8,595958.0,9.1929959E7,157,11981.0,157
5.0,0.175616,7.0,,0.0277,0.0231491249999999,0.0,0.032768,0.605,,190653.0,161768.0,1605.0,4.163106E7,158,62.0,158
2.0,0.120553784,6.0,-12.009,0.0387,0.0746184609999999,0.0,0.0012250429999999,0.658,,186787.0,2691664.0,,5.4248049E7,159,315.0,159
1.0,0.129554216,7.0,-13.023,0.0284,0.007301384,1.96E-6,,0.696,77.422,215747.0,4843831.0,24069.0,5.2195157E7,160,341.0,160
4.0,0.099897344,,-13.795,0.034,8.49278123E-4,0.0,8.017650889999E-4,0.645,80.06,185693.0,4.3155236E7,79118.0,,161,,161
5.0,0.3779330669999999,2.0,-5.879,,2.064250709999E-4,0.0,,,,216613.0,,2010.0,2.5250693E7,162,58.0,162
0.0,0.1871492479999999,,-7.818,0.0377,0.263374721,0.0,0.008,0.285,77.986,237467.0,,6786.0,,163,109.0,163
6.0,0.0679173119999999,8.0,-13.045,0.0328,0.0091293289999999,4.51E-5,0.0033079489999999,,140.482,,2.9211773E7,126949.0,1.43415947E8,164,3600.0,164
1.0,,6.0,-12.048,0.0331,0.099252847,,4.303688749999E-4,0.383,149.119,201040.0,1.3250122E7,61555.0,8.0996175E7,165,,165
2.0,0.135796744,6.0,-11.253,,0.0806215679999999,,0.0037238749999999,0.372,141.233,227600.0,,32411.0,1.49593093E8,166,398.0,166
5.0,0.133432831,6.0,,0.0369,0.268336125,0.0,0.008,,102.851,256707.0,4.9519406E7,140698.0,4.9665655E7,167,,167
4.0,,,-9.23,0.0261,0.083453453,8.07E-6,0.051478848,0.609,109.037,,3.5243527E8,641970.0,,168,15934.0,168
2.0,,8.0,-13.024,,0.141420761,7.07E-5,0.0011248639999999,0.28,131.047,224907.0,6.9276219E7,166412.0,3.1587806E7,169,4271.0,169
5.0,0.012812904,,-10.073,0.0352,,0.0,,0.397,92.248,229200.0,3.6360445E7,145375.0,5.149801E7,170,3212.0,170
3.0,0.0226651869999999,,-12.957,0.033,0.5062615730000001,0.0,0.0011576249999999,0.217,,239773.0,3.1354099E7,135455.0,2.8396528E7,171,3942.0,171
0.0,0.084027672,,-6.487,,0.0498360319999999,0.0,0.0062295039999999,0.153,,253600.0,7188263.0,67769.0,5.5087974E7,172,2051.0,172
3.0,0.1051540479999999,8.0,-8.749,0.0502,0.2314755439999999,0.0,0.128787625,0.898,67.196,126267.0,,18430.0,7.6561829E8,173,312.0,173
1.0,0.0719912959999999,5.0,-8.249,0.026,0.4085184879999999,,0.015438249,0.516,98.78,171227.0,1121558.0,28314.0,1.7735481E7,174,434.0,174
6.0,0.061162984,,-9.601,,,0.0,0.0053593749999999,0.826,122.933,130200.0,807891.0,6405.0,,175,229.0,175
2.0,0.017576,,-10.414,0.0268,0.2032974719999999,0.0,,0.492,92.032,,1451541.0,13074.0,1.4842588E7,176,565.0,176
